:START_ID,:END_ID,TYPE,properties
Suspicious SQL Error Messages,application,Monitors,
Suspicious SQL Error Messages,sql,Monitors,
sql,application,Logs,
Suspicious SQL Error Messages,definition0001,Log Definition,
Suspicious SQL Error Messages,t1190,Monitors for,
Suspicious SQL Error Messages,initial-access,Monitors for,
Suspicious SQL Error Messages,condition0001,Uses Condition,
condition0001,selection0001,Positive,
selection0001,WholeLog:quoted string not properly terminated,Searches,
WholeLog:quoted string not properly terminated,WholeLog,Field,
WholeLog:quoted string not properly terminated,quoted string not properly terminated,Value,
WholeLog,quoted string not properly terminated,Has Artifact,
application,WholeLog,Logs,
sql,WholeLog,Logs,
selection0001,modifier0001,Uses Modifier,
condition0001,selection0002,Positive,
selection0002,WholeLog:You have an error in your SQL syntax,Searches,
WholeLog:You have an error in your SQL syntax,WholeLog,Field,
WholeLog:You have an error in your SQL syntax,You have an error in your SQL syntax,Value,
WholeLog,You have an error in your SQL syntax,Has Artifact,
application,WholeLog,Logs,
sql,WholeLog,Logs,
selection0002,modifier0002,Uses Modifier,
condition0001,selection0003,Positive,
selection0003,WholeLog:Unclosed quotation mark,Searches,
WholeLog:Unclosed quotation mark,WholeLog,Field,
WholeLog:Unclosed quotation mark,Unclosed quotation mark,Value,
WholeLog,Unclosed quotation mark,Has Artifact,
application,WholeLog,Logs,
sql,WholeLog,Logs,
selection0003,modifier0003,Uses Modifier,
condition0001,selection0004,Positive,
selection0004,"WholeLog:near ""*"": syntax error",Searches,
"WholeLog:near ""*"": syntax error",WholeLog,Field,
"WholeLog:near ""*"": syntax error","near ""*"": syntax error",Value,
WholeLog,"near ""*"": syntax error",Has Artifact,
application,WholeLog,Logs,
sql,WholeLog,Logs,
selection0004,modifier0004,Uses Modifier,
condition0001,selection0005,Positive,
selection0005,WholeLog:SELECTs to the left and right of UNION do not have the same number of result columns,Searches,
WholeLog:SELECTs to the left and right of UNION do not have the same number of result columns,WholeLog,Field,
WholeLog:SELECTs to the left and right of UNION do not have the same number of result columns,SELECTs to the left and right of UNION do not have the same number of result columns,Value,
WholeLog,SELECTs to the left and right of UNION do not have the same number of result columns,Has Artifact,
application,WholeLog,Logs,
sql,WholeLog,Logs,
selection0005,modifier0005,Uses Modifier,
Potential Remote Command Execution In Pod Container,application,Monitors,
Potential Remote Command Execution In Pod Container,kubernetes,Monitors,
kubernetes,application,Logs,
Potential Remote Command Execution In Pod Container,audit,Monitors,
application,audit,Logs,
kubernetes,audit,Logs,
Potential Remote Command Execution In Pod Container,t1609,Monitors for,
Potential Remote Command Execution In Pod Container,execution,Monitors for,
Potential Remote Command Execution In Pod Container,condition0002,Uses Condition,
condition0002,selection0006,Positive,
selection0006,verb:create,Searches,
verb:create,verb,Field,
verb:create,create,Value,
verb,create,Has Artifact,
application,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
selection0006,objectRef.resource:pods,Searches,
objectRef.resource:pods,objectRef.resource,Field,
objectRef.resource:pods,pods,Value,
objectRef.resource,pods,Has Artifact,
application,objectRef.resource,Logs,
audit,objectRef.resource,Logs,
kubernetes,objectRef.resource,Logs,
selection0006,objectRef.subresource:exec,Searches,
objectRef.subresource:exec,objectRef.subresource,Field,
objectRef.subresource:exec,exec,Value,
objectRef.subresource,exec,Has Artifact,
application,objectRef.subresource,Logs,
audit,objectRef.subresource,Logs,
kubernetes,objectRef.subresource,Logs,
Kubernetes Rolebinding Modification,kubernetes,Monitors,
Kubernetes Rolebinding Modification,audit,Monitors,
kubernetes,audit,Logs,
Kubernetes Rolebinding Modification,privilege-escalation,Monitors for,
Kubernetes Rolebinding Modification,condition0003,Uses Condition,
condition0003,selection0007,Positive,
selection0007,objectRef.apiGroup:rbac.authorization.k8s.io,Searches,
objectRef.apiGroup:rbac.authorization.k8s.io,objectRef.apiGroup,Field,
objectRef.apiGroup:rbac.authorization.k8s.io,rbac.authorization.k8s.io,Value,
objectRef.apiGroup,rbac.authorization.k8s.io,Has Artifact,
audit,objectRef.apiGroup,Logs,
kubernetes,objectRef.apiGroup,Logs,
selection0007,objectRef.resource:clusterrolebindings,Searches,
objectRef.resource:clusterrolebindings,objectRef.resource,Field,
objectRef.resource:clusterrolebindings,clusterrolebindings,Value,
objectRef.resource,clusterrolebindings,Has Artifact,
audit,objectRef.resource,Logs,
kubernetes,objectRef.resource,Logs,
selection0007,objectRef.resource:rolebindings,Searches,
objectRef.resource:rolebindings,objectRef.resource,Field,
objectRef.resource:rolebindings,rolebindings,Value,
objectRef.resource,rolebindings,Has Artifact,
